"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AMID","AMID","H440","0462","","SHAFFER J","58","60","3.54","2.95","97","55.2","41.4","3.4","0.0","2","1","24","7","9","15","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H476","0473","","LANDIS C","13","13","2.94","2.93","100","15.4","53.8","30.8","0.0","0","0","0","2","3","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H476","0474","","CAMPBELL P","13","13","2.99","3.07","100","7.7","76.9","15.4","0.0","0","0","0","1","5","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H490","0463","","PAUL E","21","21","3.96","2.97","100","100.0","0.0","0.0","0.0","0","0","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H490","0464","","ROWOLD K","19","19","4.00","3.26","95","100.0","0.0","0.0","0.0","0","1","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H490","0475","","SNYDER O","6","6","4.00","3.23","100","100.0","0.0","0.0","0.0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H490","0476","","LANDIS C","13","13","3.37","2.90","85","53.8","38.5","7.7","0.0","0","0","4","3","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H490","9477","","REED M","53","57","3.37","2.90","98","45.3","52.8","0.0","1.9","4","1","11","12","5","22","1","0","0","0","0","1","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMST","AMST","A201","0330","","KRAEMER P","33","40","3.71","3.00","0","75.8","21.2","3.0","0.0","7","5","13","7","4","3","0","1","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMST","AMST","A202","0331","","KRASZEWSKI J","34","37","3.85","3.05","0","85.3","11.8","2.9","0.0","3","1","27","1","4","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","06-10-2004",
